Wavelength[nm],Average,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
160.473,2037.9,2080,2030,2048,2046,2050,2062,2014,2029,2063,2002,2041,2037,1996,2046,2032,2027,2035,2034,2039,2060,2027,2057,2025,2035,1997,2058,2074,2038,2020,2036
160.772,2155.5,2184,2177,2130,2133,2154,2157,2196,2184,2145,2177,2122,2170,2180,2116,2159,2114,2188,2157,2129,2148,2156,2176,2138,2149,2164,2159,2151,2140,2174,2139
161.072,1975.0,1965,1930,2001,1963,1982,1959,1958,1993,1972,1972,1975,1959,2000,1977,1995,1983,1994,1950,1980,1988,1952,1974,1955,1995,1972,1968,1984,1963,2000,1991
161.372,2158.2,2157,2160,2158,2135,2166,2173,2129,2145,2142,2165,2161,2179,2183,2171,2163,2125,2179,2163,2178,2136,2111,2141,2140,2192,2152,2162,2170,2148,2175,2186
161.671,1985.6,1994,1973,2018,2028,2020,1990,2015,1965,1972,1992,1993,1993,1974,1989,1973,1954,1967,1936,1988,1992,1971,1977,1973,1992,1986,1975,2008,1979,1983,1999
161.971,2270.1,2272,2276,2228,2245,2278,2279,2258,2270,2259,2290,2250,2251,2314,2243,2273,2275,2280,2262,2255,2293,2292,2272,2258,2260,2268,2317,2244,2269,2273,2300
162.271,2045.9,2006,1989,2035,2081,2029,2053,2037,2057,2047,2056,2042,2084,2035,2042,2042,2079,2011,2043,2036,2058,2062,2032,2025,2064,2020,2091,2057,2048,2053,2062
162.571,2111.0,2110,2100,2088,2095,2086,2098,2150,2052,2155,2123,2098,2136,2099,2107,2130,2128,2159,2111,2064,2122,2152,2095,2116,2108,2093,2147,2064,2115,2130,2100
162.871,2276.0,2297,2251,2297,2243,2274,2255,2277,2280,2281,2264,2302,2295,2270,2285,2288,2294,2287,2279,2277,2276,2272,2283,2257,2274,2268,2283,2250,2289,2264,2268
163.170,2149.1,2175,2168,2140,2159,2125,2159,2145,2144,2125,2120,2147,2120,2174,2132,2165,2120,2187,2161,2138,2143,2122,2154,2133,2161,2147,2173,2169,2169,2181,2117
163.470,2095.0,2106,2067,2117,2099,2101,2107,2096,2123,2123,2099,2102,2106,2094,2095,2065,2114,2108,2125,2107,2075,2091,2114,2128,2064,2060,2058,2105,2037,2106,2059
163.771,2112.6,2112,2105,2124,2123,2086,2097,2078,2096,2169,2125,2095,2108,2132,2117,2117,2090,2168,2130,2068,2131,2120,2122,2113,2080,2108,2080,2084,2108,2158,2134
164.071,2358.4,2339,2323,2349,2365,2357,2338,2350,2366,2381,2341,2386,2355,2402,2352,2370,2372,2409,2313,2335,2350,2351,2342,2356,2365,2342,2399,2344,2372,2357,2372
164.371,2104.7,2115,2082,2110,2116,2097,2119,2117,2117,2083,2138,2096,2102,2066,2108,2099,2059,2126,2130,2079,2104,2111,2145,2105,2081,2075,2131,2106,2109,2104,2112
164.671,2235.8,2208,2232,2234,2224,2264,2284,2266,2216,2239,2236,2214,2252,2242,2239,2216,2242,2250,2245,2203,2248,2214,2273,2218,2223,2245,2257,2209,2222,2235,2225
164.971,2510.9,2529,2490,2517,2524,2489,2515,2517,2552,2530,2495,2504,2497,2522,2491,2554,2493,2539,2522,2486,2490,2493,2492,2477,2517,2486,2580,2486,2494,2515,2532
165.271,2337.4,2350,2315,2344,2329,2347,2309,2376,2333,2312,2357,2356,2358,2344,2319,2334,2362,2332,2335,2319,2310,2327,2328,2303,2382,2337,2315,2345,2330,2352,2363
165.572,2305.3,2271,2287,2265,2363,2328,2333,2325,2286,2300,2319,2324,2272,2356,2298,2309,2301,2288,2323,2287,2324,2320,2250,2322,2307,2318,2328,2294,2278,2283,2299
