Wavelength[nm],Average,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
160.473,2005.5,2041,2009,2014,2000,2059,1994,1999,1983,1955,2016,1995,2026,1962,2007,1994,1996,2003,2026,1997,2004,1979,1986,2028,2041,1980,2022,2017,2029,2006,1996
160.772,2131.7,2137,2099,2141,2149,2131,2146,2132,2134,2144,2136,2106,2134,2136,2136,2104,2122,2145,2145,2132,2138,2106,2153,2134,2145,2117,2143,2139,2088,2140,2139
161.072,1948.0,1929,1952,1963,1979,1954,1931,1971,1927,1924,1987,1960,1967,1961,1952,1949,1964,1950,1892,1959,1939,1950,1960,1938,1952,1971,1930,1933,1912,1967,1916
161.372,2125.6,2130,2106,2124,2123,2112,2134,2162,2104,2112,2132,2115,2088,2124,2101,2111,2140,2120,2120,2156,2152,2132,2142,2134,2111,2173,2126,2095,2127,2158,2104
161.671,1952.8,1955,1987,1987,1948,1958,1966,1961,1949,1963,1964,1938,1940,1948,1942,1935,1948,1946,1954,1960,1963,1950,1923,1941,1945,1921,1947,1928,1960,1953,2003
161.971,2240.0,2217,2232,2254,2244,2213,2236,2243,2246,2204,2286,2230,2218,2257,2266,2254,2257,2201,2273,2256,2223,2216,2256,2221,2226,2255,2220,2247,2250,2214,2284
162.271,2025.9,2035,2037,2030,2048,1985,2023,2009,2000,2028,2038,2030,2036,2007,2029,2049,1996,2014,2040,2038,2056,2018,2034,2018,2018,2060,2006,2016,2032,2038,2010
162.571,2081.3,2091,2094,2106,2088,2098,2081,2090,2046,2087,2081,2099,2111,2092,2114,2096,2069,2091,2079,2063,2052,2058,2085,2078,2049,2096,2068,2058,2079,2067,2073
162.871,2236.5,2238,2236,2215,2255,2239,2239,2231,2256,2208,2246,2235,2274,2255,2216,2242,2218,2258,2249,2210,2244,2219,2228,2247,2242,2245,2231,2199,2256,2260,2203
163.170,2122.5,2093,2136,2146,2112,2082,2089,2154,2142,2095,2130,2103,2171,2125,2149,2138,2122,2124,2120,2125,2105,2124,2094,2108,2100,2127,2107,2132,2125,2120,2178
163.470,2064.0,2052,2029,2068,2037,2063,2066,2056,2072,2066,2062,2076,2056,2078,2083,2083,2071,2051,2056,2053,2089,2057,2107,2079,2073,2080,2046,2037,2046,2051,2077
163.771,2079.8,2088,2057,2107,2077,2072,2099,2138,2085,2066,2069,2064,2086,2104,2088,2063,2081,2075,2110,2072,2086,2063,2078,2089,2072,2029,2075,2101,2069,2092,2038
164.071,2315.3,2335,2375,2317,2309,2322,2365,2303,2301,2326,2322,2335,2344,2315,2316,2321,2301,2304,2292,2341,2287,2273,2325,2314,2301,2302,2312,2312,2292,2325,2273
164.371,2078.6,2077,2079,2076,2075,2060,2056,2103,2093,2089,2057,2047,2088,2098,2077,2076,2057,2082,2073,2110,2068,2105,2074,2097,2102,2068,2128,2016,2067,2073,2087
164.671,2193.5,2153,2209,2173,2223,2211,2219,2232,2156,2194,2193,2186,2222,2185,2166,2226,2204,2192,2165,2184,2219,2200,2180,2167,2226,2208,2186,2193,2156,2200,2178
164.971,2475.3,2495,2478,2445,2464,2440,2493,2501,2458,2464,2478,2465,2441,2509,2484,2483,2492,2485,2472,2482,2462,2458,2480,2485,2488,2457,2486,2488,2511,2446,2470
165.271,2301.7,2331,2314,2335,2290,2358,2296,2292,2310,2320,2261,2314,2307,2300,2266,2301,2297,2269,2249,2304,2276,2301,2295,2286,2325,2288,2305,2305,2325,2326,2305
165.572,2267.5,2277,2258,2290,2248,2276,2276,2236,2285,2292,2249,2208,2236,2274,2278,2276,2301,2245,2264,2312,2269,2285,2277,2256,2255,2238,2277,2291,2292,2248,2256
165.872,2168.5,2165,2144,2154,2201,2153,2183,2148,2179,2205,2171,2152,2159,2162,2138,2194,2157,2124,2139,2177,2186,2161,2175,2190,2209,2182,2165,2159,2167,2180,2175
166.172,2441.7,2474,2457,2450,2485,2415,2427,2429,2465,2409,2450,2412,2480,2438,2419,2424,2408,2402,2475,2490,2462,2429,2413,2443,2451,2459,2413,2434,2434,2460,2445
166.473,2526.6,2562,2504,2507,2548,2502,2519,2508,2585,2506,2539,2489,2578,2518,2498,2536,2523,2524,2530,2565,2536,2495,2519,2557,2535,2524,2498,2570,2510,2500,2512
166.773,2461.9,2478,2426,2478,2464,2476,2447,2456,2469,2445,2450,2434,2462,2470,2494,2454,2484,2440,2459,2437,2462,2482,2449,2441,2498,2475,2416,2490,2451,2484,2486
167.074,2512.2,2514,2534,2527,2514,2523,2493,2528,2500,2524,2493,2489,2507,2496,2496,2554,2494,2513,2476,2508,2513,2484,2515,2494,2549,2548,2512,2524,2473,2554,2518
167.374,2409.6,2391,2408,2420,2414,2439,2452,2401,2405,2403,2387,2428,2389,2407,2365,2393,2405,2408,2381,2389,2420,2430,2390,2456,2406,2453,2411,2404,2421,2403,2410
