Wavelength[nm],Average,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
160.473,1999.2,1976,1971,2006,1940,1988,2020,2009,1974,2011,1998,2023,2001,2026,1999,2015,2008,2025,2022,1993,1977,2006,1984,2011,1999,2008,1993,2001,1988,1996,2008
160.772,2120.8,2127,2128,2124,2156,2102,2130,2129,2085,2105,2138,2139,2121,2130,2166,2139,2110,2123,2110,2104,2139,2114,2097,2084,2130,2104,2098,2116,2136,2124,2116
161.072,1943.2,1985,1932,1952,1944,1943,1929,1978,1928,1934,1966,1961,1977,1907,1975,1961,1906,1932,1940,1963,1912,1925,1923,1963,1921,1935,1922,1939,1921,1951,1971
161.372,2125.6,2172,2153,2150,2095,2121,2164,2088,2132,2108,2152,2132,2121,2146,2144,2108,2123,2136,2066,2157,2105,2120,2182,2130,2089,2120,2147,2131,2098,2091,2088
161.671,1949.4,1943,1957,1949,1955,1946,1967,1944,1925,1967,1969,1974,1924,1985,1931,1992,1943,1933,1945,1956,1963,1956,1969,1933,1933,1956,1977,1922,1940,1919,1910
161.971,2221.1,2210,2235,2204,2202,2213,2192,2228,2255,2206,2247,2244,2247,2217,2206,2260,2259,2195,2219,2214,2238,2222,2208,2216,2265,2210,2223,2187,2205,2215,2192
162.271,1997.7,2005,1982,2004,2022,2014,2027,1980,2016,2034,1989,1980,1996,2011,2005,1993,1987,2003,2010,2002,1973,1976,1964,2015,1999,2012,2022,2009,1970,1986,1944
162.571,2066.2,2061,2066,2099,2089,2048,2034,2042,2097,2083,2052,2084,2073,2058,2049,2035,2065,2074,2084,2082,2076,2085,2066,2041,2082,2065,2068,2031,2076,2060,2062
162.871,2226.8,2211,2212,2202,2237,2213,2259,2225,2211,2187,2217,2211,2209,2221,2218,2241,2238,2212,2247,2239,2232,2207,2268,2240,2272,2190,2218,2243,2223,2254,2248
163.170,2118.0,2124,2104,2115,2103,2126,2133,2082,2114,2172,2116,2127,2110,2132,2117,2126,2112,2076,2114,2104,2102,2118,2118,2120,2112,2116,2151,2142,2130,2080,2144
163.470,2052.3,2061,2052,2021,2056,2047,2020,2034,2078,2037,2036,2054,2072,2104,2051,2050,2056,2077,2068,2081,2009,2047,2045,2052,2084,2056,2020,2069,2057,2014,2062
163.771,2077.4,2117,2097,2068,2069,2075,2056,2094,2077,2080,2073,2044,2116,2091,2045,2086,2066,2070,2082,2042,2101,2085,2086,2050,2081,2077,2069,2100,2050,2065,2110
164.071,2323.1,2342,2333,2314,2292,2319,2351,2340,2331,2349,2316,2335,2315,2333,2329,2300,2329,2313,2361,2309,2317,2296,2315,2312,2340,2313,2298,2349,2334,2285,2322
164.371,2074.8,2085,2049,2085,2044,2089,2049,2054,2068,2077,2073,2079,2097,2054,2040,2111,2040,2096,2054,2075,2125,2112,2073,2109,2093,2089,2026,2081,2077,2071,2068
164.671,2184.7,2193,2203,2185,2161,2182,2171,2209,2232,2189,2193,2165,2201,2176,2177,2190,2166,2207,2180,2210,2174,2198,2168,2159,2216,2155,2185,2205,2143,2170,2179
164.971,2461.5,2467,2526,2474,2417,2456,2462,2485,2442,2476,2443,2445,2489,2464,2443,2475,2479,2447,2429,2435,2436,2451,2492,2460,2447,2465,2470,2469,2466,2472,2464
165.271,2299.9,2289,2296,2342,2251,2297,2324,2258,2317,2323,2294,2283,2286,2327,2327,2299,2299,2295,2301,2274,2318,2328,2329,2290,2298,2264,2284,2291,2312,2285,2315
165.572,2263.4,2226,2264,2285,2285,2231,2288,2290,2250,2265,2263,2256,2295,2243,2281,2264,2269,2256,2246,2243,2256,2283,2301,2273,2250,2249,2259,2252,2272,2253,2255
