Wavelength[nm],Average,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
160.473,2038.4,2028,2028,2009,2038,1988,2044,2029,2024,2067,2049,2051,2068,2031,2056,2012,2106,2008,2033,2073,2024,2051,2073,2046,2044,2052,1992,2010,2056,2006,2056
160.772,2172.6,2207,2168,2158,2170,2196,2156,2175,2162,2153,2196,2190,2176,2198,2180,2138,2195,2153,2159,2185,2173,2182,2157,2199,2153,2191,2173,2169,2184,2154,2129
161.072,1988.3,1992,1978,1962,1989,2027,1980,1916,1978,2009,2022,1976,1981,1988,1963,1955,2010,1970,2001,1996,1972,1997,2010,2011,2011,2004,2015,2009,1961,1973,1994
161.372,2165.1,2159,2204,2180,2136,2157,2170,2183,2188,2142,2162,2132,2156,2195,2172,2165,2137,2143,2168,2191,2174,2128,2164,2145,2142,2206,2153,2174,2154,2187,2186
161.671,1994.5,2020,2006,1987,1994,1987,1976,2012,2005,2003,1987,2031,1999,1994,2016,1979,1989,1975,1964,1977,1952,2006,2004,2007,1999,1992,1998,2008,1998,1988,1981
161.971,2270.8,2271,2285,2228,2272,2291,2280,2259,2270,2277,2280,2263,2258,2278,2273,2275,2311,2292,2272,2246,2271,2259,2280,2212,2257,2291,2284,2262,2252,2297,2278
162.271,2051.0,2036,2059,2045,2078,2021,2082,2091,2034,2061,2014,2047,2053,2042,2065,2072,2030,2042,2054,2069,2024,2033,2024,2037,2056,2037,2082,2045,2076,2054,2066
162.571,2107.4,2119,2099,2092,2133,2104,2116,2124,2089,2099,2117,2106,2111,2081,2100,2096,2074,2111,2088,2133,2114,2127,2127,2095,2068,2086,2119,2136,2127,2106,2126
162.871,2284.2,2255,2305,2284,2284,2264,2284,2334,2329,2310,2249,2300,2254,2290,2288,2245,2262,2282,2268,2308,2265,2317,2296,2292,2287,2269,2293,2250,2239,2330,2293
163.170,2165.8,2176,2154,2165,2198,2162,2188,2140,2134,2169,2149,2163,2173,2137,2171,2191,2166,2191,2187,2152,2175,2193,2200,2124,2163,2132,2167,2179,2128,2182,2165
163.470,2101.4,2102,2132,2095,2084,2093,2088,2082,2104,2081,2075,2089,2113,2105,2103,2090,2112,2113,2104,2110,2100,2068,2137,2129,2116,2096,2104,2128,2088,2121,2080
163.771,2117.6,2120,2077,2095,2129,2125,2155,2150,2098,2116,2120,2146,2094,2116,2096,2091,2101,2143,2106,2152,2115,2147,2118,2129,2128,2095,2140,2098,2128,2121,2078
164.071,2365.2,2337,2366,2333,2383,2357,2363,2351,2388,2326,2339,2342,2381,2369,2346,2371,2372,2421,2333,2393,2407,2335,2390,2406,2356,2376,2348,2355,2373,2387,2353
164.371,2121.1,2106,2111,2119,2161,2127,2135,2080,2094,2116,2114,2114,2155,2134,2100,2136,2141,2123,2110,2129,2088,2130,2086,2152,2127,2139,2152,2104,2135,2110,2104
164.671,2234.5,2215,2219,2249,2278,2235,2258,2244,2235,2250,2240,2233,2288,2212,2242,2220,2264,2235,2210,2196,2242,2231,2201,2247,2228,2233,2207,2233,2216,2239,2236
164.971,2509.4,2490,2509,2495,2517,2532,2534,2501,2484,2534,2480,2453,2537,2511,2501,2484,2561,2526,2501,2536,2538,2517,2482,2514,2499,2515,2533,2485,2512,2529,2473
165.271,2343.9,2368,2372,2335,2361,2306,2315,2350,2357,2327,2326,2370,2300,2325,2370,2340,2304,2321,2369,2356,2320,2365,2363,2368,2315,2341,2339,2335,2364,2361,2374
165.572,2309.3,2336,2284,2331,2263,2306,2312,2340,2303,2294,2299,2268,2330,2306,2324,2312,2294,2284,2309,2344,2291,2329,2287,2326,2337,2325,2293,2320,2345,2305,2282
165.872,2213.9,2217,2198,2223,2227,2219,2210,2211,2214,2222,2198,2205,2202,2210,2226,2223,2198,2198,2233,2219,2218,2235,2229,2205,2203,2209,2247,2196,2222,2206,2195
166.172,2492.0,2521,2499,2474,2497,2490,2492,2548,2467,2460,2432,2461,2435,2501,2511,2513,2462,2512,2518,2498,2509,2489,2552,2507,2499,2464,2451,2483,2507,2498,2509
166.473,2571.2,2600,2557,2590,2580,2640,2598,2592,2605,2583,2574,2597,2560,2582,2532,2553,2573,2541,2521,2574,2571,2567,2562,2562,2557,2544,2539,2582,2552,2574,2573
166.773,2498.1,2478,2524,2470,2497,2467,2445,2464,2514,2522,2483,2477,2511,2519,2529,2520,2510,2505,2501,2509,2463,2552,2511,2438,2495,2506,2544,2524,2519,2480,2466
167.074,2556.1,2567,2564,2570,2565,2594,2548,2597,2495,2566,2581,2571,2559,2562,2536,2558,2600,2555,2557,2527,2547,2513,2544,2557,2547,2510,2583,2587,2493,2569,2560
